
-9900;0;-9900;0;0;0
-4000;0;-4000;0;0;0
-3955;0;-3955;0;0;0
-3000;0;0;0;-3000;0
-1350;0;0;-1350;0;0
-780;0;0;-780;0;0
-700;0;0;0;-700;0
-330;-330;0;0;0;0
-100;0;0;0;0;-100
-55;0;0;0;0;-55
-25;0;0;0;0;-25
0;0;0;0;0;0
10;0;0;0;0;10
15;0;0;0;0;15
25;0;0;0;0;25
30;0;0;0;0;30
50;0;0;0;0;50
55;0;0;0;0;55
60;0;60;0;0;0
75;0;0;75;0;0
78;0;0;78;0;0
82;0;0;82;0;0
93.6;0;0;93.6;0;0
100;0;0;0;0;100
110;0;0;0;0;110
125;0;0;0;0;125
133.71;0;0;133.71;0;0
140;0;140;0;0;0
159;0;159;0;0;0
159.1;0;159.1;0;0;0
175;0;0;0;175;0
180;0;0;0;0;180
200;200;0;0;0;0
220;0;220;0;0;0
230;0;0;0;0;230
238;0;200;38;0;0
240;0;240;0;0;0
245;0;0;0;0;245
248;0;248;0;0;0
265;0;265;0;0;0
275;0;275;0;0;0
278;0;200;78;0;0
280;0;0;0;0;280
285;0;0;0;0;285
287;0;287;0;0;0
300;300;0;0;0;0
302;0;550;82;-330;0
304;0;304;0;0;0
306;0;306;0;0;0
310;0;310;0;0;0
312.5;0;275;37.5;0;0
319;0;280;39;0;0
320;0;0;0;0;320
325;0;325;0;0;0
330;330;0;0;0;0
337.5;0;0;337.5;0;0
340.33;0;258.33;82;0;0
340.37;0;258.37;82;0;0
350;0;0;0;350;0
355;0;355;0;0;0
370;0;0;0;0;370
375;100;275;0;0;0
380;0;0;0;380;0
386;0;386;0;0;0
389.32;0;0;389.32;0;0
390;0;390;0;0;0
399;0;399;0;0;0
400;0;0;0;0;400
412.16;0;412.16;0;0;0
412.5;0;0;0;412.5;0
425;0;0;75;350;0
430;0;430;0;0;0
443.6;0;0;0;443.6;0
453.33;0;453.33;0;0;0
453.35;0;453.35;0;0;0
458;0;0;78;380;0
463.71;0;0;157.28;306.43;0
463.74;0;0;157.3;306.44;0
468;0;468;0;0;0
470;0;470;0;0;0
475;0;0;0;475;0
480;0;0;0;480;0
494;0;494;0;0;0
495;0;0;0;0;495
506.4;0;530;-353.6;330;0
509;0;316.93;75.93;116.14;0
510;0;510;0;0;0
512;0;512;0;0;0
530;0;530;0;0;0
550;0;550;0;0;0
552;0;0;552;0;0
560;0;560;0;0;0
563;0;550;13;0;0
578.18;0;578.18;0;0;0
578.20;0;578.20;0;0;0
585;0;585;0;0;0
588;0;550;38;0;0
596;0;550;46;0;0
600;0;600;0;0;0
607.04;0;530;77.04;0;0
608;0;530;78;0;0
618.40;0;530;88.40;0;0
618.42;0;530;88.42;0;0
619;0;550;69;0;0
624.4;0;550;74.4;0;0
625;0;550;75;0;0
632;0;550;82;0;0
634;0;530;104;0;0
636;0;636;0;0;0
637.2;0;0;0;0;637.2
638;0;560;78;0;0
642;0;560;82;0;0
647.84;0;530;117.84;0;0
648.4;0;560;88.4;0;0
648.42;0;560;88.42;0;0
650;0;550;100;0;0
655;0;550;-225;330;0
657.17;0;530;127.17;0;0
657.18;0;0;0;0;657.18
660;0;660;0;0;0
663.71;0;530;133.71;0;0
666;0;550;116;0;0
672;0;672;0;0;0
673.55;0;530;143.55;0;0
677;0;550;127;0;0
678.57;0;550;78.57;50;0
687.13;0;560;127.13;0;0
687.17;0;560;127.17;0;0
689;0;550;139;0;0
690;0;310;0;380;0
690.33;0;258.33;82;350;0
690.57;0;550;140.57;0;0
690.58;0;550;140.58;0;0
695;0;530;0;165;0
700;0;0;0;700;0
701;0;550;151;0;0
705;0;530;0;175;0
706.6;0;706.6;0;0;0
706.66;0;636;70.66;0;0
706.72;0;636;70.72;0;0
707.2;0;707.2;0;0;0
709.83;0;660;49.83;0;0
711;0;560;151;0;0
714;0;550;164;0;0
715.2;0;660;55.2;0;0
726;0;636;90;0;0
729.58;0;560;169.58;0;0
729.6;0;636;93.6;0;0
